project_id,project_name,sponsor,county,announced_mw,site_control_score,site_control_confidence,physical_commitment_score,physical_commitment_category,financial_commitment_score,incentive_filings_score,incentive_filings_basis,sponsor_track_record_score,total_score,tier,documented_reversal_flag,reversal_citation,scoring_basis
12,Corsicana Facility,Riot Platforms,Navarro County,1000,22,government-record (SEC-filed sequential purchases),20,confirmed-permitted (TDLR building permit),15,7,§151.359 registry match (3 Corsicana entries) - no JETI/abatement found,16,80,Evidenced,no,,standard /100
13,Panhandle Campus - Armstrong County,Google,Armstrong County,not disclosed,15,press-reported-only,25,confirmed-permitted,5,7,§151.359 registry match ('Project Goodnight' eff. 2025-06-20 - name matches Crusoe's TCEQ-permitted plant explicitly built for this Google site),20,72,Evidenced,no,,standard /100
14,Panhandle Campus - Haskell County (scored as 'Journey'),Google,Haskell County,not disclosed,20,government-record (Haskell County Commissioners Court tax abatement document),n/o (§106.511),not-observable (excluded from denominator; renormalized /75),10,15,"Executed county tax abatement, approved 2025-06-24, Phase 1 capex ~$1B disclosed in the court record - full credit tier",20,87,Evidenced,no,,renormalized /75 (physical excluded)
15,Project Caprock,Aligned Data Centers,Hale County,540,10,press-reported-only,n/o (§106.511),not-observable (excluded from denominator; renormalized /75),6,7,§151.359 registry match ('LBB01 Data Center' eff. 2026-07-10 - exact name match to Aligned's own building name) - no JETI/abatement found,10,44,Progressing,no,,renormalized /75 (physical excluded)
16,Denton Campus (CoreWeave expansion),Core Scientific,Denton County,391,25,government-record (City of Denton council action confirming lease),n/o (§106.511),not-observable (excluded from denominator; renormalized /75),15,7,§151.359 registry match ('Denton Data Center' eff. 2024-09-19) - no JETI/abatement found,10,76,Evidenced,no,,renormalized /75 (physical excluded)
17,Barber Lake,Cipher Mining,Mitchell County,300,22,government-record (SEC-filed closed acquisition),12,confirmed-permitted (partial - portable plant only),15,7,§151.359 registry match ('Cipher Barber Lake LLC Data Center' eff. 2025-11-07; occupant Anthropic PBC via operator Fluidstack USA II) - no JETI/abatement found,16,72,Evidenced,no,,standard /100
18,Irving Campus,PowerHouse Data Centers,Dallas County,201,10,press-reported-only,5,confirmed-permitted (partial - building milestone only),5,0,no JETI/abatement/registry match found (only unrelated 'QTS Irving DC3' on registry),8,28,Announced-only,no,,standard /100
19,Garden City Facility,Marathon Digital (MARA),Glasscock County,200,22,government-record (SEC-filed closed acquisition),n/o (§106.511),not-observable (excluded from denominator; renormalized /75),5,0,confirmed non-match on registry and JETI list,9,48,Progressing,no,,renormalized /75 (physical excluded)
20,Kaufman County Campus,Prometheus Hyperscale,Kaufman County,200,8,press-reported-only,n/o (§106.511),not-observable (excluded from denominator; renormalized /75),5,0,no JETI/abatement/registry match found,6,25,Announced-only,no,,renormalized /75 (physical excluded)
21,Bosque County Campus,Energy Capital Partners + KKR / CyrusOne,Bosque County,190,5,press-reported-only,n/o (§106.511),not-observable (excluded from denominator; renormalized /75),15,0,"confirmed non-match under CyrusOne name; registry shows 2 OTHER unrelated Bosque Co. facilities (Google's 'C1 Bosque I' eff. 2026-04-07, Amazon's 'C1 Bosque II' eff. 2026-04-13) - possible additional candidate projects, out of scope this session",10,40,Progressing,no,,renormalized /75 (physical excluded)
